User_ID,Device_Type,Location,Auth_Method,Subscription_Plan,Subscription_Type,Subscription_Price,Subscription_Start_Date,Tickets_Raised,Previous_Feedback,Active_Status
USER_0001,Smartphone,Gym_Lobby,Social Login,Business,Yearly,49.99,2026-04-17 22:04:17.441232,0,Awesome,Active
USER_0002,IoT Device,CoWorking_Space_A,WPA2-Enterprise,Business,Yearly,49.99,2024-10-24 22:04:17.441232,1,Good,Active
USER_0003,Laptop,Gym_Lobby,WPA2-Enterprise,Business,Yearly,49.99,2024-07-27 22:04:17.441232,0,Awesome,Active
USER_0004,Laptop,Metro_Station_Exit,WPA2-Enterprise,Basic,Monthly,9.99,2025-04-09 22:04:17.441232,0,Good,Active
USER_0005,Smartphone,TechHub_Cafe,Social Login,Business,Yearly,49.99,2025-03-09 22:04:17.441232,0,Awesome,Active
USER_0006,Smartphone,Food_Court_WiFi,Captive Portal,Family,Monthly,29.99,2025-02-15 22:04:17.441232,0,Awesome,Active
USER_0007,Smartphone,Metro_Station_Exit,WPA2-Enterprise,Free,N/A,0.0,2024-11-21 22:04:17.441232,5,Poor,Inactive
USER_0008,Smart TV,City_Library_Zone,WPA2-Enterprise,Basic,Monthly,9.99,2024-10-14 22:04:17.441232,0,Good,Active
USER_0009,Laptop,City_Library_Zone,WPA2-Enterprise,Premium,Monthly,19.99,2026-05-25 22:04:17.441232,0,Average,Active
USER_0010,Laptop,Gym_Lobby,Captive Portal,Free,N/A,0.0,2026-01-11 22:04:17.441232,0,Good,Active
USER_0011,Smartphone,Central_Park_Bench,Social Login,Premium,Monthly,19.99,2024-09-29 22:04:17.441232,0,Good,Inactive
USER_0012,IoT Device,Innovation_Park_Gate,WPA2-Enterprise,Premium,Monthly,19.99,2026-02-26 22:04:17.441232,0,Good,Active
USER_0013,Tablet,Central_Park_Bench,WPA2-Enterprise,Free,N/A,0.0,2025-09-07 22:04:17.441232,6,Poor,Inactive
USER_0014,Smartphone,Shopping_Mall_Entrance,WPA2-Enterprise,Premium,Monthly,19.99,2024-08-03 22:04:17.441232,0,Good,Active
USER_0015,Smartphone,Central_Park_Bench,OTP Verification,Family,Monthly,29.99,2024-08-01 22:04:17.441232,1,Average,Active
USER_0016,Smartphone,Shopping_Mall_Entrance,WPA2-Enterprise,Basic,Monthly,9.99,2024-10-05 22:04:17.441232,0,Good,Active
USER_0017,Smartphone,Shopping_Mall_Entrance,Social Login,Free,N/A,0.0,2025-02-10 22:04:17.441232,0,Good,Active
USER_0018,Laptop,Food_Court_WiFi,Captive Portal,Free,N/A,0.0,2025-02-25 22:04:17.441232,3,Poor,Active
USER_0019,Smartphone,TechHub_Cafe,WPA2-Enterprise,Basic,Monthly,9.99,2025-12-01 22:04:17.441232,1,Average,Active
USER_0020,Smartphone,Food_Court_WiFi,WPA2-Enterprise,Business,Monthly,49.99,2026-03-10 22:04:17.441232,0,Awesome,Active
USER_0021,Laptop,Shopping_Mall_Entrance,WPA2-Enterprise,Free,N/A,0.0,2024-07-29 22:04:17.441232,6,Leave to other provider,Inactive
USER_0022,Smartphone,Metro_Station_Exit,Captive Portal,Premium,Monthly,19.99,2026-01-27 22:04:17.441232,0,Average,Active
USER_0023,Smartphone,City_Library_Zone,Social Login,Free,N/A,0.0,2025-01-21 22:04:17.441232,4,Poor,Inactive
USER_0024,Smartphone,Shopping_Mall_Entrance,Captive Portal,Basic,Yearly,9.99,2026-04-28 22:04:17.441232,0,Average,Active
USER_0025,Smartphone,Food_Court_WiFi,Captive Portal,Family,Yearly,29.99,2026-06-20 22:04:17.441232,0,Awesome,Active
USER_0026,Tablet,Metro_Station_Exit,WPA2-Enterprise,Premium,Monthly,19.99,2026-01-11 22:04:17.441232,0,Good,Active
USER_0027,Smartphone,Food_Court_WiFi,OTP Verification,Free,N/A,0.0,2025-09-04 22:04:17.441232,0,Awesome,Active
USER_0028,Laptop,Central_Park_Bench,Social Login,Basic,Monthly,9.99,2025-02-12 22:04:17.441232,0,Good,Active
USER_0029,Laptop,CoWorking_Space_A,WPA2-Enterprise,Free,N/A,0.0,2025-10-04 22:04:17.441232,5,Leave to other provider,Inactive
USER_0030,Smartphone,Gym_Lobby,OTP Verification,Basic,Monthly,9.99,2026-02-25 22:04:17.441232,2,Average,Active
USER_0031,Laptop,Innovation_Park_Gate,Captive Portal,Premium,Yearly,19.99,2025-04-12 22:04:17.441232,2,Average,Active
USER_0032,Smartphone,Food_Court_WiFi,Captive Portal,Free,N/A,0.0,2024-07-08 22:04:17.441232,7,Leave to other provider,Inactive
USER_0033,Smartphone,Innovation_Park_Gate,Social Login,Free,N/A,0.0,2024-12-12 22:04:17.441232,3,Poor,Inactive
USER_0034,IoT Device,Main_Square_WiFi,Social Login,Basic,Monthly,9.99,2026-06-16 22:04:17.441232,5,Poor,Inactive
USER_0035,IoT Device,Food_Court_WiFi,Captive Portal,Business,Monthly,49.99,2025-09-07 22:04:17.441232,0,Awesome,Active
USER_0036,Tablet,CoWorking_Space_A,WPA2-Enterprise,Business,Monthly,49.99,2025-06-15 22:04:17.441232,0,Awesome,Active
USER_0037,Smartphone,Innovation_Park_Gate,WPA2-Enterprise,Free,N/A,0.0,2025-04-12 22:04:17.441232,0,Awesome,Inactive
USER_0038,Smartphone,Shopping_Mall_Entrance,OTP Verification,Family,Monthly,29.99,2024-12-08 22:04:17.441232,0,Awesome,Active
USER_0039,Laptop,Food_Court_WiFi,WPA2-Enterprise,Basic,Monthly,9.99,2025-02-07 22:04:17.441232,6,Poor,Inactive
USER_0040,Smartphone,TechHub_Cafe,WPA2-Enterprise,Basic,Yearly,9.99,2025-06-11 22:04:17.441232,1,Good,Active
USER_0041,Smartphone,Gym_Lobby,Captive Portal,Family,Monthly,29.99,2024-10-14 22:04:17.441232,0,Average,Active
USER_0042,Smartphone,CoWorking_Space_A,Captive Portal,Business,Monthly,49.99,2024-10-04 22:04:17.441232,0,Good,Active
USER_0043,Smartphone,Innovation_Park_Gate,Captive Portal,Business,Yearly,49.99,2025-07-26 22:04:17.441232,1,Good,Active
USER_0044,Smart TV,CoWorking_Space_A,OTP Verification,Premium,Yearly,19.99,2024-10-09 22:04:17.441232,1,Average,Active
